,Open,High,Low,Close,Adj Close,Volume,US covid deaths
2020-05-29,91.0,92.88999938964844,89.5999984741211,92.66999816894533,78.980712890625,13758800,8558.0
2020-06-01,92.0500030517578,93.05999755859376,90.69000244140624,90.6999969482422,77.30171966552734,8486500,6810.0
2020-06-02,90.97000122070312,91.6999969482422,90.05000305175781,91.04000091552734,77.59150695800781,9413300,6810.0
2020-06-03,91.47000122070312,91.5,89.5999984741211,90.88999938964844,77.46365356445312,8588400,6810.0
2020-06-04,90.27999877929688,93.4800033569336,90.25,93.04000091552734,79.29605865478516,9525700,6810.0
2020-06-05,93.5,95.54000091552734,92.80999755859376,93.8499984741211,79.98639678955078,9630100,6810.0
2020-06-08,92.91000366210938,95.01000213623048,92.80999755859376,94.58999633789062,80.6170883178711,6621400,5987.0
2020-06-09,94.9499969482422,96.66000366210938,94.76000213623048,96.16999816894533,81.96369171142578,9555900,5987.0
2020-06-10,96.98999786376952,99.3499984741211,96.8000030517578,96.9000015258789,82.58585357666016,11138300,5987.0
2020-06-11,95.69000244140624,96.88999938964844,92.02999877929688,92.26000213623048,78.63127899169922,12584800,5987.0
2020-06-12,93.73999786376952,94.73999786376952,91.02999877929688,92.45999908447266,78.8017349243164,8010100,5987.0
2020-06-15,91.2699966430664,94.02999877929688,90.77999877929688,93.08000183105467,79.33015441894531,7120200,5370.0
2020-06-16,94.86000061035156,96.1999969482422,93.4800033569336,96.05999755859376,81.86994171142578,9366100,5370.0
2020-06-17,96.8499984741211,97.0999984741211,95.2699966430664,95.73999786376952,81.59721374511719,6212200,5370.0
2020-06-18,95.55999755859376,96.4499969482422,95.26000213623048,96.2300033569336,82.01483917236328,4571600,5370.0
2020-06-19,97.72000122070312,98.1999969482422,95.75,96.70999908447266,82.4239273071289,9210900,5370.0
2020-06-22,96.63999938964844,97.3000030517578,95.81999969482422,97.2699966430664,82.90119934082031,6004300,4455.0
2020-06-23,98.41999816894533,99.0999984741211,97.0500030517578,97.30999755859376,82.93527221679688,6715600,4455.0
2020-06-24,96.45999908447266,97.16000366210938,94.3499984741211,95.13999938964844,81.0858383178711,9025100,4455.0
2020-06-25,95.18000030517578,97.06999969482422,94.31999969482422,96.98999786376952,82.6625747680664,6411700,4455.0
2020-06-26,96.88999938964844,97.02999877929688,95.04000091552734,96.12999725341795,81.92961883544922,14568400,4455.0
2020-06-29,96.5,97.33000183105467,95.68000030517578,96.44000244140624,82.19380187988281,6676400,6081.0
2020-06-30,95.97000122070312,98.87999725341795,95.83000183105467,98.18000030517578,83.67676544189453,8112500,6081.0
2020-07-01,98.5,99.66000366210938,97.5,99.13999938964844,84.49496459960938,6522900,6081.0
2020-07-02,99.4499969482422,99.98999786376952,97.86000061035156,98.87999725341795,84.27336883544922,6158800,6081.0
2020-07-06,99.63999938964844,99.8000030517578,97.9499969482422,99.01000213623048,84.38417053222656,7039000,4451.0
2020-07-07,98.68000030517578,100.69000244140624,98.55999755859376,99.3499984741211,84.67394256591797,6345600,4451.0
2020-07-08,99.75,100.56999969482422,98.5500030517578,99.27999877929688,84.61428833007812,6154400,4451.0
2020-07-09,99.08000183105467,99.77999877929688,96.80999755859376,97.94000244140624,83.47224426269531,5817300,4451.0
2020-07-10,98.05999755859376,98.33000183105467,96.36000061035156,96.83000183105467,82.52619934082031,6202500,4451.0
2020-07-13,97.36000061035156,99.55999755859376,96.91999816894533,97.86000061035156,83.40404510498047,8507400,5529.0
2020-07-14,96.97000122070312,99.0999984741211,95.94000244140624,98.87000274658205,85.2933120727539,6765600,5529.0
2020-07-15,100.0,100.4800033569336,98.81999969482422,100.4800033569336,86.68224334716797,5661600,5529.0
2020-07-16,99.69000244140624,100.2300033569336,98.80999755859376,99.91999816894533,86.19912719726562,4269200,5529.0
2020-07-17,100.29000091552734,101.27999877929688,99.91999816894533,100.83000183105467,86.98417663574219,6890900,5529.0
2020-07-20,100.76000213623048,101.25,99.26000213623048,99.54000091552734,85.87132263183594,4823300,6666.0
2020-07-21,99.80999755859376,99.80999755859376,97.16999816894533,97.4000015258789,84.0251693725586,8239000,6666.0
2020-07-22,97.8000030517578,98.27999877929688,96.93000030517578,97.6999969482422,84.28397369384766,4441800,6666.0
2020-07-23,98.23999786376952,98.91999816894533,97.4499969482422,98.02999877929688,84.56865692138672,5127200,6666.0
2020-07-24,98.0500030517578,98.19000244140624,96.45999908447266,97.11000061035156,83.77500915527344,5169400,6666.0
2020-07-27,96.3499984741211,97.88999938964844,96.26000213623048,97.16000366210938,83.81814575195312,5030700,7726.0
2020-07-28,97.0,97.62000274658205,96.45999908447266,96.70999908447266,83.42992401123047,5941800,7726.0
2020-07-29,96.87000274658205,97.4000015258789,96.63999938964844,97.01000213623048,83.68873596191406,5512000,7726.0
2020-07-30,96.30999755859376,96.73999786376952,95.41000366210938,96.04000091552734,82.85193634033203,6411500,7726.0
2020-07-31,95.54000091552734,97.25,93.5500030517578,94.91000366210938,81.87709045410156,14613000,7726.0
2020-08-03,95.19000244140624,97.16999816894533,95.05999755859376,95.94000244140624,82.76566314697266,6919000,8146.0
2020-08-04,95.91999816894533,96.02999877929688,94.05999755859376,94.29000091552734,81.34223175048828,7865100,8146.0
2020-08-05,94.47000122070312,94.8000030517578,93.12999725341795,93.25,80.4450454711914,6918900,8146.0
2020-08-06,93.31999969482422,93.6500015258789,91.77999877929688,92.56999969482422,79.85841369628906,7269300,8146.0
