Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2021-08-17,229.66000366210935,231.27999877929688,229.5200042724609,231.1999969482422,213.1435089111328,2666500,7
2021-08-18,230.5200042724609,231.3300018310547,226.6000061035156,226.83999633789065,209.1240081787109,2988100,1
2021-08-19,225.69000244140625,227.6999969482422,223.3000030517578,224.38999938964844,206.8653717041016,2669000,6
2021-08-20,224.38999938964844,226.2400054931641,222.00999450683597,223.52999877929688,206.0725555419922,2811600,2
2021-08-23,224.17999267578125,227.44000244140625,223.7700042724609,225.63999938964844,208.0177459716797,1932600,3
2021-08-24,225.5200042724609,225.67999267578125,223.55999755859372,224.3800048828125,206.85618591308597,1790400,11
2021-08-25,224.30999755859372,224.8300018310547,221.17999267578125,221.58999633789065,204.2840576171875,2173200,2
2021-08-26,222.05999755859372,222.05999755859372,220.16000366210935,221.47000122070312,204.1734161376953,2844500,4
2021-08-27,222.22000122070312,225.3600006103516,220.22000122070312,222.77999877929688,205.381103515625,2660900,3
2021-08-30,222.27999877929688,225.30999755859372,222.1000061035156,224.1300048828125,206.6256866455078,1881800,8
2021-08-31,224.94000244140625,225.6499938964844,223.33999633789065,225.52999877929688,207.91635131835935,2904700,5
2021-09-01,225.5500030517578,226.1199951171875,221.8800048828125,223.3500061035156,205.90658569335935,2699000,5
2021-09-02,223.63999938964844,226.02999877929688,223.42999267578125,225.9600067138672,208.3127593994141,1817800,4
2021-09-03,225.75999450683597,227.19000244140625,224.1999969482422,226.3699951171875,208.69073486328125,1664100,6
2021-09-07,223.0,224.94000244140625,219.5200042724609,221.33999633789065,204.0535888671875,3281800,6
2021-09-08,221.3300018310547,222.2899932861328,220.1000061035156,220.8699951171875,203.62026977539065,2140400,3
2021-09-09,220.5,220.6499938964844,215.41000366210935,215.5800018310547,198.7434234619141,3273600,5
2021-09-10,216.5,216.9900054931641,213.5500030517578,213.75,197.0563507080078,2217800,8
2021-09-13,217.05999755859372,219.0500030517578,215.07000732421875,216.72000122070312,199.79440307617188,2553400,2
2021-09-14,217.6000061035156,217.9199981689453,215.1199951171875,216.0399932861328,199.16749572753903,1999300,4
2021-09-15,216.7700042724609,219.9199981689453,215.8600006103516,218.1300048828125,201.09426879882807,2555600,6
2021-09-16,218.0200042724609,218.6499938964844,214.0,217.3600006103516,200.3844146728516,2695600,6
2021-09-17,217.22999572753903,219.8800048828125,215.8699951171875,219.3800048828125,202.24664306640625,5659900,6
2021-09-20,218.3800048828125,219.8500061035156,214.27999877929688,215.1100006103516,198.3101348876953,3293000,3
2021-09-21,215.7100067138672,218.1000061035156,214.3600006103516,215.3600006103516,198.5406036376953,2112100,1
2021-09-22,216.55999755859372,216.55999755859372,213.4600067138672,213.63999938964844,196.95494079589844,2542800,9
2021-09-23,212.50999450683597,215.55999755859372,212.3000030517578,215.0500030517578,198.25482177734372,2181500,4
2021-09-24,214.75,215.52999877929688,213.1999969482422,213.6100006103516,196.92727661132807,1908600,1
2021-09-27,213.25,214.9499969482422,212.6999969482422,213.1100006103516,196.46632385253903,1943000,7
2021-09-28,212.3000030517578,214.75999450683597,211.6499938964844,212.2700042724609,195.69192504882807,2919000,5
2021-09-29,212.5,216.8000030517578,211.8500061035156,214.8999938964844,198.11651611328125,1900800,2
2021-09-30,215.7899932861328,216.6699981689453,212.5200042724609,212.6499938964844,196.0422515869141,2491900,2
2021-10-01,213.58999633789065,214.6100006103516,210.8000030517578,213.9199981689453,197.21307373046875,2629400,5
2021-10-04,214.1000061035156,215.63999938964844,210.7700042724609,211.44000244140625,194.9267425537109,2856300,3
2021-10-05,211.2100067138672,213.9900054931641,211.0800018310547,211.8600006103516,195.31393432617188,2481900,2
2021-10-06,211.32000732421875,212.0800018310547,208.97000122070312,209.97999572753903,193.5807647705078,2928200,1
2021-10-07,208.52999877929688,212.4499969482422,208.52999877929688,209.1199951171875,192.78793334960935,3331700,3
2021-10-11,209.05999755859372,209.88999938964844,206.58999633789065,206.6999969482422,190.55694580078125,1982200,4
2021-10-12,207.42999267578125,207.55999755859372,200.47000122070312,201.88999938964844,186.12261962890625,3544000,5
